"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010823_6",0.0802732710167051,0.106719438315856,"STD-Group-_x002d_-Chan-2007",6
"CD010823_13",0.429275952845029,0.438252395526962,"STD-Group-_x002d_-Bauml-2007",3
"CD010823_29",0.245993863382353,0.245993863382353,"STD-Group-_x002d_-Hornung-1995",12
"CD010823_3",0.0802732710167051,0.106719438315856,"STD-Group-_x002d_-Chan-2007",6
"CD010828_1",0.000909530978550241,0.00366013840751892,"STD-Sheehan-1993",7
"CD010832_5",0.560508214322081,0.560508214322081,"STD-Dossenbach-1998",4
"CD010832_1",0.480814842936521,0.629076373854407,"STD-Conley-2005",6
"CD010832_6",1,1,"STD-Conley-2005",4
"CD010832_7",0.756594489006873,0.756594489006873,"STD-Dossenbach-1998",5
"CD010832_8",0.192535599770487,0.222065527306866,"STD-Conley-2005",3
"CD010832_10",0.0419279397585988,0.512541651493547,"STD-Dossenbach-1998",3
"CD010832_9",0.337904006263532,0.383939690471627,"STD-Boyer-1987",10
"CD010832_11",0.857022238557729,0.985401858096238,"STD-Conley-2005",5
"CD010832_12",0.189513596980482,0.869500045614076,"STD-Conley-2005",4
"CD010832_14",0.194317537548242,0.254767965565634,"STD-Conley-2005",4
"CD010832_16",1,1,"STD-Conley-2005",3
"CD010834_6",0.223397249826498,0.223397249826498,"STD-Nair-2009",3
"CD010834_7",0.0483746067085145,0.0483746067085145,"STD-Ortega-2014",3
"CD010850_4",0.230704253811038,0.271213086273447,"STD-Aull-2014",6
"CD010861_22",0.00948598754840663,0.0304663675291153,"STD-Bhandal-2006",4
"CD010861_23",0.142457552423977,0.296110285503482,"STD-Van-Wyck-2007",4
"CD010861_24",0.24313627626624,0.516856313545084,"STD-Seid-2008",3
"CD010861_25",0.123595220386011,0.123595220386011,"STD-Westad-2008",4
"CD010861_34",0.590791394427984,0.590791394427984,"STD-Westad-2008",4
"CD010861_5",0.657175714732489,0.970961097961195,"STD-Krafft-2011",7
"CD010861_6",0.478283954837325,0.723275025225729,"STD-Krafft-2011",4
"CD010861_7",0.438872565341683,0.882728518264275,"STD-Tam-2005",5
"CD010861_4",0.21370509987151,0.339717607292556,"STD-Perello-2014",5
"CD010861_8",0.0263643438161098,0.230357575958522,"STD-Westad-2008",3
"CD010862_4",0.329770375704687,0.908751165973049,"STD-Dole-1969",4
"CD010866_2",0.196857085237128,0.226380242862517,"STD-Scholes-1996",4
"CD010868_2",0.140603019018916,0.154200656748922,"STD-Uncovska-2003",4
"CD010878_1",0.40886542633506,0.40886542633506,"STD-VESPA",3
"CD010884_1",0.318122558301562,0.389925816998723,"STD-Bircan-2008",4
"CD010893_1",0.00600287959217015,0.0409272027968803,"STD-Goldstein-1974",4
"CD010909_1",0.105753736521279,0.132978958103703,"STD-Bloch-1995",26
"CD010909_2",0.293725746709878,0.293725746709878,"STD-Skobeloff-1989",11
"CD010909_3",0.34866324517128,0.34866324517128,"STD-Skobeloff-1989",8
"CD010909_4",0.275912982020746,0.275912982020746,"STD-Skobeloff-1989",10
"CD010910_3",3.48816883531402e-06,0.113307655127938,"STD-Nielsen-1996",3
"CD010912_7",0.42501268086586,0.896187664875871,"STD-Healy-2013",3
"CD010915_1",0.134970034390273,0.382025942679655,"STD-Peipert-2008",3
"CD010915_2",0.427797507968714,0.512152864677512,"STD-Berenson-2012",3
"CD010915_3",0.374269564656777,0.886086394559606,"STD-Peipert-2008",3
"CD010927_8",0.0263711069326778,0.0402733448296961,"STD-Valecha-2010-AS",49
"CD010927_9",0.00205815965108972,0.00364162951238533,"STD-Grande-2007-PER",57
"CD010927_10",0.79498079340784,0.969645565519153,"STD-Mens-2008-KEN",20
"CD010927_11",0.815208582923508,0.957933684512869,"STD-Mayxay-2006-LAO",17
"CD010927_12",0.0170129458495339,0.0732318001096905,"STD-Ashley-2005-THA",20
"CD010927_13",0.955896002910713,0.998925749459087,"STD-Kamya-2007-UGA",20
"CD010927_15",0.787339471930949,0.989796068839758,"STD-Smithuis-2010-MMR",7
"CD010929_1",0.478151760249968,0.504966096975907,"STD-Veit-2009",3
"CD010941_1",0.127141639660952,0.262029708780817,"STD-Barkemeyer-2000",13
"CD010941_2",0.400998820520576,0.705689295750332,"STD-DeMartini-1999",9
"CD010941_3",0.0615975330029401,0.150064529521481,"STD-Halliday-2001",11
"CD010941_4",0.583675620278453,0.897236184959115,"STD-Durand-2002",8
"CD010941_5",0.958835003915043,0.958835003915043,"STD-Odd-2004",5
"CD010941_6",0.0699795019290388,0.376121541717453,"STD-McEvoy-2004",4
"CD010941_9",0.935220334695424,0.974538437047626,"STD-Durand-2002",8
"CD010941_10",0.911965791671189,0.974301625164327,"STD-Cummings-1989",6
"CD010941_11",0.570637994466266,0.896282062521706,"STD-Bloomfield-1998",5
"CD010941_12",0.847914593478096,0.90746084458353,"STD-Halliday-2001",7
"CD010941_14",0.209816778757455,0.209816778757455,"STD-Halliday-2001",6
"CD010941_15",0.800414347762235,0.996219786340844,"STD-Papile-1998",12
"CD010941_16",0.39365842422773,0.468698100164509,"STD-Halliday-2001",6
"CD010941_17",0.562768376217603,0.894745374077316,"STD-Cummings-1989",4
"CD010941_18",0.914165550395055,0.914165550395055,"STD-Halliday-2001",4
"CD010941_19",0.0457435359520802,0.0685047338875884,"STD-Durand-2002",3
"CD010941_20",0.488970444518878,0.911218633339859,"STD-Marr-2011",5
"CD010941_21",0.646171393053199,0.933993406972987,"STD-Cummings-1989",5
"CD010941_22",0.615558966624045,0.882496954939949,"STD-Papile-1998",14
"CD010941_23",0.134534709766022,0.232421340074684,"STD-Cummings-1989",14
"CD010941_24",0.0624460375916627,0.241228971157718,"STD-McEvoy-2004",11
"CD010941_25",0.0713726205596791,0.133647961054662,"STD-Halliday-2001",13
"CD010941_8",0.424891257768013,0.997860901084475,"STD-Barkemeyer-2000",4
"CD010941_13",0.0199909381109406,0.499273151153587,"STD-Malloy-2005",5
